tip.name	current.accepted.name	duplicated
Nolana_sessiliflora	Nolana_sessiliflora	no
Nolana_spathulata	Nolana_spathulata	no
Nolana_sphaerophylla	Nolana_sphaerophylla	no
Nolana_stenophylla	Nolana_stenophylla	no
Nolana_tarapacana	Nolana_tarapacana	no
Nolana_thinophila	Nolana_thinophila	no
Nolana_tocopillensis	Nolana_tocopillensis	no
Nolana_tomentella	Nolana_tomentella	no
Nolana_urubambae	Nolana_urubambae	no
Nolana_villosa	Nolana_villosa	no
Nolana_volcanica	Nolana_volcanica	no
Nolana_weissiana	Nolana_weissiana	no
Nolana_werdermannii	Nolana_werdermannii	no
Nolana_willeana	Nolana_willeana	no
Nothocestrum_latifolium	Nothocestrum_latifolium	no
Nothocestrum_longifolium	Nothocestrum_longifolium	no
Oryctes_nevadensis	Oryctes_nevadensis	no
Pantacantha_ameghinoi	Pantacantha_ameghinoi	no
Petunia_altiplana	Petunia_altiplana	no
Petunia_axillaris	Petunia_axillaris	no
Petunia_bonjardinensis	Petunia_bonjardinensis	no
Petunia_exserta	Petunia_exserta	no
Petunia_integrifolia	Petunia_integrifolia	no
Petunia_littoralis	Petunia_integrifolia	yes
Petunia_mantiqueirensis	Petunia_mantiqueirensis	no
Petunia_reitzii	Petunia_reitzii	no
Petunia_saxicola	Petunia_saxicola	no
Petunia_scheideana	Petunia_scheideana	no
Petunia_secreta	Petunia_secreta	no
Physalis_acutifolia	Physalis_acutifolia	no
Physalis_alkekengi	Physalis_alkekengi	no
Physalis_angulata	Physalis_angulata	no
Physalis_angustifolia	Physalis_angustifolia	no
Physalis_angustiphysa	Physalis_angustiphysa	no
Physalis_arborescens	Physalis_campechiana	no
Physalis_arenicola	Physalis_arenicola	no
Physalis_campanulata	Physalis_campanulata	no
Physalis_carpenteri	Physalis_carpenteri	no
Physalis_caudella	Physalis_caudella	no
Physalis_cinerascens	Physalis_cinerascens	no
Physalis_cordata	Physalis_cordata	no
Physalis_coztomatl	Physalis_coztomatl	no
Physalis_crassifolia	Physalis_crassifolia	no
Physalis_glutinosa	Physalis_glutinosa	no
Physalis_greenmanii	Physalis_greenmanii	no
Physalis_hederifolia	Physalis_hederifolia	no
Physalis_heterophylla	Physalis_heterophylla	no
Physalis_ignota	Physalis_ignota	no
Physalis_lagascae	Physalis_lagascae	no
Physalis_lanceolata	Physalis_lanceolata	no
Physalis_lassa	Physalis_lassa	no
Physalis_longifolia	Physalis_longifolia	no
Physalis_melanocystis	Physalis_melanocystis	no
Physalis_microcarpa	Physalis_microcarpa	no
Physalis_microphysa	Physalis_microphysa	no
Physalis_minima	Physalis_minima	no
Physalis_minimaculata	Physalis_minimaculata	no
Physalis_mollis	Physalis_mollis	no
Physalis_nicandroides	Physalis_nicandroides	no
Physalis_patula	Physalis_patula	no
Physalis_peruviana	Physalis_peruviana	no
